topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,doc_id
0.004838714,0.0016460601,0.0049202554,0.005210801,0.0018901166,0.0025104412,0.95826584,0.0023160393,0.0062766904,0.006413303,0.0019459457,0.0037657951,29
0.016091598,0.027695198,0.016913567,0.014388037,0.05578926,0.013849217,0.7742549,0.016646676,0.013471343,0.02053009,0.013385935,0.016984168,30
0.028466284,0.0886659,0.028416501,0.05697796,0.48387963,0.03341023,0.04077883,0.060057707,0.060083225,0.048240732,0.04151113,0.029511923,31
0.0527439,0.07718886,0.03712709,0.07793791,0.4499095,0.031366434,0.05660743,0.057100434,0.055815347,0.04948315,0.026694393,0.028025618,32
0.021989036,0.028553024,0.012847956,0.01004715,0.07320305,0.015728466,0.021672802,0.01039686,0.17007715,0.0125716375,0.6092872,0.013625694,33
0.015365013,0.021057572,0.008935465,0.014407946,0.011486889,0.0074631623,0.058136053,0.008496288,0.010269897,0.028111562,0.80382884,0.012441354,34
0.02919731,0.008990919,0.016019946,0.011387963,0.008469834,0.011053141,0.026628789,0.010657817,0.020622421,0.014560135,0.82912487,0.01328685,35
0.034635477,0.010437649,0.03377891,0.013781052,0.011167785,0.015195139,0.026688602,0.0049249004,0.072962575,0.012269267,0.69709814,0.06706044,36
0.1410079,0.018391315,0.19098556,0.008526284,0.027653528,0.36329478,0.010422489,0.025004825,0.015295799,0.022435276,0.16393279,0.013049491,37
0.01958864,0.0240009,0.0095378095,0.018139869,0.014829814,0.007992206,0.06768613,0.01048081,0.012884286,0.017617863,0.7855895,0.011652133,38
0.0125225615,0.0033396948,0.017700823,0.0021628295,0.008106715,0.3375728,0.007923667,0.0025781821,0.0312986,0.0036701157,0.5268401,0.046283863,39
0.017905625,0.009169499,0.0064350595,0.012875576,0.009488819,0.0085582705,0.040569752,0.008918704,0.009459068,0.012931282,0.8517736,0.01191476,40
